match_id,matchweek,date,team,opponent,player_name,availability_status,issue_type,body_part_or_reason,expected_return,player_importance,starter_probability_if_fit,minutes_expectation_if_fit,impact_score,source_name,source_url_or_page_title,source_timestamp,is_real_data,data_status,notes
,,,Hull City,,,unknown,unknown,,,,,,,none_available,,2026-08-17T22:26:26+00:00,False,unavailable,"No verified live injury/suspension feed is connected to this pipeline. This is a team-level 'unknown' sentinel, not a real report -- downstream features must set home/away_missing_injury_data_flag=True from this row and MUST NOT treat it as 'fully healthy'."
,,,Ipswich Town,,,unknown,unknown,,,,,,,none_available,,2026-08-17T22:26:26+00:00,False,unavailable,"No verified live injury/suspension feed is connected to this pipeline. This is a team-level 'unknown' sentinel, not a real report -- downstream features must set home/away_missing_injury_data_flag=True from this row and MUST NOT treat it as 'fully healthy'."
,,,Leeds United,,,unknown,unknown,,,,,,,none_available,,2026-08-17T22:26:26+00:00,False,unavailable,"No verified live injury/suspension feed is connected to this pipeline. This is a team-level 'unknown' sentinel, not a real report -- downstream features must set home/away_missing_injury_data_flag=True from this row and MUST NOT treat it as 'fully healthy'."
,,,Liverpool,,,unknown,unknown,,,,,,,none_available,,2026-08-17T22:26:26+00:00,False,unavailable,"No verified live injury/suspension feed is connected to this pipeline. This is a team-level 'unknown' sentinel, not a real report -- downstream features must set home/away_missing_injury_data_flag=True from this row and MUST NOT treat it as 'fully healthy'."
,,,Manchester City,,,unknown,unknown,,,,,,,none_available,,2026-08-17T22:26:26+00:00,False,unavailable,"No verified live injury/suspension feed is connected to this pipeline. This is a team-level 'unknown' sentinel, not a real report -- downstream features must set home/away_missing_injury_data_flag=True from this row and MUST NOT treat it as 'fully healthy'."
,,,Manchester United,,,unknown,unknown,,,,,,,none_available,,2026-08-17T22:26:26+00:00,False,unavailable,"No verified live injury/suspension feed is connected to this pipeline. This is a team-level 'unknown' sentinel, not a real report -- downstream features must set home/away_missing_injury_data_flag=True from this row and MUST NOT treat it as 'fully healthy'."
,,,Newcastle United,,,unknown,unknown,,,,,,,none_available,,2026-08-17T22:26:26+00:00,False,unavailable,"No verified live injury/suspension feed is connected to this pipeline. This is a team-level 'unknown' sentinel, not a real report -- downstream features must set home/away_missing_injury_data_flag=True from this row and MUST NOT treat it as 'fully healthy'."
,,,Nottingham Forest,,,unknown,unknown,,,,,,,none_available,,2026-08-17T22:26:26+00:00,False,unavailable,"No verified live injury/suspension feed is connected to this pipeline. This is a team-level 'unknown' sentinel, not a real report -- downstream features must set home/away_missing_injury_data_flag=True from this row and MUST NOT treat it as 'fully healthy'."
,,,Sunderland,,,unknown,unknown,,,,,,,none_available,,2026-08-17T22:26:26+00:00,False,unavailable,"No verified live injury/suspension feed is connected to this pipeline. This is a team-level 'unknown' sentinel, not a real report -- downstream features must set home/away_missing_injury_data_flag=True from this row and MUST NOT treat it as 'fully healthy'."
,,,Tottenham Hotspur,,,unknown,unknown,,,,,,,none_available,,2026-08-17T22:26:26+00:00,False,unavailable,"No verified live injury/suspension feed is connected to this pipeline. This is a team-level 'unknown' sentinel, not a real report -- downstream features must set home/away_missing_injury_data_flag=True from this row and MUST NOT treat it as 'fully healthy'."
